device: cuda
config: {'variant': 'channel_gated', 'quality_aware': True, 'n_folds': 5, 'seed': 42, 'image_size': 224, 'batch_size': 16, 'epochs': 30, 'lr': 0.0001, 'weight_decay': 0.0001, 'aux_loss_weight': 0.4, 'quality_loss_weight': 0.15, 'focal_gamma': 0.0, 'train_on_all_dermoscopic_images': True, 'fusion_hidden_dim': 256, 'fusion_dropout': 0.3, 'metadata_hidden_dim': 128, 'metadata_out_dim': 128, 'num_aux_classes': 9, 'results_ledger_path': 'results/results_ledger.csv', 'checkpoint_dir': 'checkpoints', 'log_dir': 'logs', 'notes': ''}
[build_lesion_table] 240 lesions total
  binary task: 6 excluded (malignancy=='unknown')
  aux 9-class task: 6 excluded (unified_diagnosis=='UNK' or missing)
  histopath-confirmed: 28
  lesions missing a quality rating: 2
[build_image_index] 2394 raw image rows -> 2131 after lesion_id join -> 2131 after file-existence check (0 missing files dropped)
fold 0: 5 subjects, 9.0 malignant lesions
fold 1: 6 subjects, 9.0 malignant lesions
fold 2: 16 subjects, 8.0 malignant lesions
fold 3: 16 subjects, 8.0 malignant lesions
fold 4: 16 subjects, 8.0 malignant lesions
[fold 3] epoch 21/30 train_loss=0.0353 val_bacc=0.7782 val_auroc=0.8085
[fold 3] epoch 22/30 train_loss=0.0318 val_bacc=0.7944 val_auroc=0.8367
[fold 3] epoch 23/30 train_loss=0.0267 val_bacc=0.7863 val_auroc=0.8145
[fold 3] epoch 24/30 train_loss=0.0254 val_bacc=0.7863 val_auroc=0.8165
[fold 3] epoch 25/30 train_loss=0.0283 val_bacc=0.7863 val_auroc=0.8327
[fold 3] epoch 26/30 train_loss=0.0224 val_bacc=0.7863 val_auroc=0.8145
[fold 3] epoch 27/30 train_loss=0.0216 val_bacc=0.7944 val_auroc=0.8206
[fold 3] epoch 28/30 train_loss=0.0196 val_bacc=0.7782 val_auroc=0.8024
[fold 3] epoch 29/30 train_loss=0.0199 val_bacc=0.7863 val_auroc=0.7782
[fold 3] epoch 30/30 train_loss=0.0366 val_bacc=0.7863 val_auroc=0.8206
[fold 3] TEST accuracy=0.8548 balanced_accuracy=0.8102 auroc=0.9444
[_build_samples] 2/72 lesions had no usable image on disk for this split — dropped
[fold 4] epoch 1/30 train_loss=1.8643 val_bacc=0.9062 val_auroc=0.9792
[fold 4] epoch 2/30 train_loss=1.2630 val_bacc=0.9444 val_auroc=0.9514
[fold 4] epoch 3/30 train_loss=0.7687 val_bacc=0.6667 val_auroc=0.9167
[fold 4] epoch 4/30 train_loss=0.4141 val_bacc=0.7222 val_auroc=0.8819
[fold 4] epoch 5/30 train_loss=0.2787 val_bacc=0.7222 val_auroc=0.9167
[fold 4] epoch 6/30 train_loss=0.1863 val_bacc=0.8333 val_auroc=0.9722
[fold 4] epoch 7/30 train_loss=0.1797 val_bacc=0.7465 val_auroc=0.9236
[fold 4] epoch 8/30 train_loss=0.1087 val_bacc=0.7778 val_auroc=0.9861
[fold 4] epoch 9/30 train_loss=0.0975 val_bacc=0.7778 val_auroc=0.9514
[fold 4] epoch 10/30 train_loss=0.0969 val_bacc=0.7778 val_auroc=0.9653
[fold 4] epoch 11/30 train_loss=0.0975 val_bacc=0.7778 val_auroc=0.8958
[fold 4] epoch 12/30 train_loss=0.0977 val_bacc=0.7778 val_auroc=0.9097
[fold 4] epoch 13/30 train_loss=0.0542 val_bacc=0.7778 val_auroc=0.9167
[fold 4] epoch 14/30 train_loss=0.0522 val_bacc=0.7778 val_auroc=0.9444
[fold 4] epoch 15/30 train_loss=0.0456 val_bacc=0.7778 val_auroc=0.9514
[fold 4] epoch 16/30 train_loss=0.0354 val_bacc=0.7778 val_auroc=0.8750
[fold 4] epoch 17/30 train_loss=0.0357 val_bacc=0.7778 val_auroc=0.9444
[fold 4] epoch 18/30 train_loss=0.0314 val_bacc=0.7778 val_auroc=0.9306
[fold 4] epoch 19/30 train_loss=0.0299 val_bacc=0.7778 val_auroc=0.9514
[fold 4] epoch 20/30 train_loss=0.0270 val_bacc=0.8333 val_auroc=0.9653
[fold 4] epoch 21/30 train_loss=0.0229 val_bacc=0.7778 val_auroc=0.9583
[fold 4] epoch 22/30 train_loss=0.0271 val_bacc=0.8333 val_auroc=0.9722
[fold 4] epoch 23/30 train_loss=0.0518 val_bacc=0.7222 val_auroc=0.8750
[fold 4] epoch 24/30 train_loss=0.0263 val_bacc=0.7778 val_auroc=0.8889
[fold 4] epoch 25/30 train_loss=0.0213 val_bacc=0.8333 val_auroc=0.9028
[fold 4] epoch 26/30 train_loss=0.0189 val_bacc=0.8021 val_auroc=0.9097
[fold 4] epoch 27/30 train_loss=0.0265 val_bacc=0.7465 val_auroc=0.9097
[fold 4] epoch 28/30 train_loss=0.0180 val_bacc=0.7778 val_auroc=0.9167
[fold 4] epoch 29/30 train_loss=0.0179 val_bacc=0.6910 val_auroc=0.8750
[fold 4] epoch 30/30 train_loss=0.0174 val_bacc=0.6910 val_auroc=0.8819
[fold 4] TEST accuracy=0.7857 balanced_accuracy=0.7702 auroc=0.8448

=== Aggregated (mean +/- std across folds) ===
accuracy_mean: 0.8117
accuracy_std: 0.0609
balanced_accuracy_mean: 0.7400
balanced_accuracy_std: 0.0580
macro_f1_mean: 0.7148
macro_f1_std: 0.0577
sensitivity_malignant_mean: 0.5778
sensitivity_malignant_std: 0.1585
specificity_mean: 0.9023
specificity_std: 0.0654
auroc_mean: 0.8787
auroc_std: 0.0365
confusion_matrix_sum:
[[166  23]
 [ 18  24]]
total time: 3973.4s
